id,company_id,title,internship,technical,job_url
70,47,'Developer',0,1,'http://carrot.is/hiring#design'
71,47,'Developer Intern',1,0,'http://carrot.is/hiring'
72,47,'Creative Intern',1,0,'http://carrot.is/hiring'
73,47,'Strategist Intern',1,0,'http://carrot.is/hiring/apply/for/brooklyn/strategymarketing/intern'
74,47,'Producer & Business intern',1,0,'http://carrot.is/hiring'
75,54,'Front End Engineer',0,1,'http://www.jobscore.com/jobs/cinchcast/list'
76,54,'Front-end Architecht',0,1,'http://www.jobscore.com/jobs/cinchcast/list'
77,54,'Interactive PRoduct Designer',0,1,'http://www.jobscore.com/jobs/cinchcast/list'
78,54,'Product Manager',0,1,'http://www.jobscore.com/jobs/cinchcast/list'
79,54,'Account Executives',0,0,'http://www.jobscore.com/jobs/cinchcast/list'
80,54,'Account Manager',0,1,'http://www.jobscore.com/jobs/cinchcast/list'
81,54,'Customer Support Representative',0,0,'http://www.jobscore.com/jobs/cinchcast/list'
82,56,'Web Engineer',0,1,'http://www.citypockets.com/jobs'
83,56,'Sr. Linux Infrastructure Engineer',0,1,'http://www.collectivei.com/join-us/'
84,58,'Product Manager',0,0,'http://www.collectivei.com/join-us/'
85,58,'Operations Research Analyst',0,0,'http://www.collectivei.com/join-us/'
86,58,'Knowledge Management & Collaboration Analyst / Engineer',0,1,'http://www.collectivei.com/join-us/'
87,58,'Information & Data Integration System Analyst / Engineer',0,1,'http://www.collectivei.com/join-us/'
88,58,'Analytics Application Developer/Engineer',0,0,'http://www.collectivei.com/join-us/'
89,58,'Analytical Engine Developer',0,1,'http://www.collectivei.com/join-us/'
90,60,'Account Manager (Customer Success Manager)',0,0,'http://www.conductor.com/about/careers/details?jvi=okGiVfwX,Job'
91,60,'Customer Success Intern (Paid)',0,0,'http://www.conductor.com/about/careers/details?jvi=oPpjWfwd,Job'
92,60,'Entry Level Quality Assurance Engineer',0,1,'http://www.conductor.com/about/careers/details?jvi=oUDhWfwu,Job'
93,60,'Front End Java Developer',0,1,'http://www.conductor.com/about/careers/details?jvi=oCUlWfwx,Job'
94,60,'Java Platform Engineer',0,1,'http://www.conductor.com/about/careers/details?jvi=oELkVfwo,Job'
95,60,'Senior Java Engineer',0,1,'http://www.conductor.com/about/careers/details?jvi=orciWfwB,Job'
96,60,'Future Interest in Conductor',0,0,'http://www.conductor.com/about/careers/details?jvi=ofShWfw4,Job'
97,60,'Director, Product Management',0,0,'http://www.conductor.com/about/careers/details?jvi=oaw6Vfwr,Job'
98,60,'Senior Product Manager',0,0,'http://www.conductor.com/about/careers/details?jvi=oNQiWfwB,Job'
99,60,'Inside Sales Representative',0,0,'http://www.conductor.com/about/careers/details?jvi=oZTlWfwT,Job'
100,60,'Presales Engineer',0,1,'http://www.conductor.com/about/careers/details?jvi=oyumWfw4,Job'
101,60,'SaaS Sales Representative',0,0,'http://www.conductor.com/about/careers/details?jvi=oSShWfwH,Job'
102,60,'Senior SaaS Sales Representative',0,0,'http://www.conductor.com/about/careers/details?jvi=oolmWfwL,Job'
103,63,'Hacker and Software Engineer',0,1,'http://lore.com/jobs/engineer'
104,63,'Interaction Designer with a Passion for UI',0,0,'http://lore.com/jobs/interaction-designer-with-a-passion-for-ui'
105,63,'Community Manager',0,0,'http://lore.com/jobs/community-manager'
106,63,'New and Upcoming Graduates',0,0,'http://lore.com/jobs/new-grads'
107,63,'Campus Founder',1,0,'http://lore.com/jobs/campus-founder'
108,63,'Software Engineer Intern',1,0,'http://lore.com/jobs/engineer-intern'
109,63,'CEO Apprentice',1,0,'http://lore.com/jobs/ceo-apprentice'
110,64,'kickass full-stack Rails developer',0,1,'http://craftcoffee.com/jobs'
111,66,'Business Development Intern',1,0,'http://crowdtap.it/jobs/'
112,66,'Computer and Information Scientist, Research',0,1,'http://crowdtap.it/jobs/'
113,66,'Junior Software Engineer',0,1,'http://crowdtap.it/jobs/'
114,66,'Manager, Strategic Relationships',0,0,'http://crowdtap.it/jobs/'
115,66,'Marketing Intern',1,0,'http://crowdtap.it/jobs/'
116,66,'Member Management Intern',1,0,'http://crowdtap.it/jobs/'
117,66,'Software Engineer',0,1,'http://crowdtap.it/jobs/'
118,66,'Software Engineer Intern',1,1,'http://crowdtap.it/jobs/'
119,75,'Drupal Themer',0,1,'http://www.dosomething.org/about/team/jobs#frontend'
120,75,'Drupal Developer',0,1,'http://www.dosomething.org/about/team/jobs#drupal'
121,77,'Web Developer',0,1,'http://www.authenticjobs.com/jobs/11894'
122,77,'Mac/iOS Developer',0,1,'http://www.authenticjobs.com/jobs/11894'
123,77,'Design Intern',1,0,'http://www.authenticjobs.com/jobs/11896'
124,79,'Sales Support Manager',0,0,'http://jobs.efficiency20.com/jobs/2012/04/10/sales-support-manager.html'
125,79,'Operations Associate',0,0,'http://jobs.efficiency20.com/jobs/2012/04/10/operations-associate.html'
126,79,'Community Marketing Coordinator',0,0,'http://jobs.efficiency20.com/jobs/2012/04/10/community-marketing-coordinator-rochester.html'
127,79,'Energy Efficiency Original Content Developer',0,0,'http://jobs.efficiency20.com/jobs/2012/03/01/content-contractor.html'
128,79,'Community Marketing Coordinator',0,0,'http://jobs.efficiency20.com/jobs/2012/03/01/community-marketing-coordinator-detroit.html'
129,79,'Community Marketing Coordinator',0,0,'http://jobs.efficiency20.com/jobs/2012/03/01/community-marketing-coordinator-chicago.html'
130,79,'Community Marketing Coordinator',0,0,'http://jobs.efficiency20.com/jobs/2012/03/01/community-marketing-coordinator-arkansas.html'
131,79,'Visual Designer',0,0,'http://jobs.efficiency20.com/jobs/2012/02/23/visual-designer.html'
132,79,'Senior Web Designer',0,0,'http://jobs.efficiency20.com/jobs/2012/02/23/senior-web-designer.html'
133,79,'Regulatory Outreach Manager',0,0,'http://jobs.efficiency20.com/jobs/2012/02/23/regulatory-outreach-manager.html'
134,79,'Director, Regulatory Affairs',0,0,'http://jobs.efficiency20.com/jobs/2012/02/23/regulatory-affairs-director.html'
135,79,'Client Engagements Director',0,0,'http://jobs.efficiency20.com/jobs/2012/02/23/client-enagements-director.html'
136,79,'Marketing Manager',0,0,'http://jobs.efficiency20.com/jobs/2011/09/28/marketing-manager.html'
137,79,'Energy Efficiency Engineer',0,1,'http://jobs.efficiency20.com/jobs/2011/09/28/energy-efficiency-engineer.html'
138,79,'Senior Software Engineer - Ruby',0,1,'http://jobs.efficiency20.com/jobs/2011/05/05/senior-software-engineer-ruby.html'
139,79,'Spring/Summer Internship in Business Operations',1,0,'http://jobs.efficiency20.com/jobs/2011/04/16/business-ops-intern.html'
140,82,'Android Developer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=otD9WfwV'
141,82,'Sr. Software Engineer: Mobile',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=o5LeWfwK'
142,82,'iPhone Developer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=o4t5Vfwh'
143,82,'Network Engineer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=o9b1Vfw0'
144,82,'Payment Risk Operations Agent',0,0,'http://www.etsy.com/jobs/job_description.php?job_id=oNKeWfwr'
145,82,'Product Manager: Checkout',0,0,'http://www.etsy.com/jobs/job_description.php?job_id=oTvcWfwg'
146,82,'User Researcher',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=o0Q7VfwC'
147,82,'Web Production Designer',0,0,'http://www.etsy.com/jobs/job_description.php?job_id=ohdhWfwr'
148,82,'Front-End Architect',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=oSN3Vfwn'
149,82,'Network Security Engineer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=oVTSVfwl'
150,82,'Product Security Engineer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=oKNHVfwT'
151,82,'Senior Software Engineer: Seller Tools',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=oovfWfwO'
152,82,'Software Engineer',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=ozhhVfwM'
153,82,'Software Engineer: API Lead',0,1,'http://www.etsy.com/jobs/job_description.php?job_id=o4EbWfwz'
